model,attribute,gold,token_count
qwen2.5-7b,temperature,10,2
qwen2.5-7b,temperature,11,2
qwen2.5-7b,temperature,12,2
qwen2.5-7b,temperature,13,2
qwen2.5-7b,temperature,14,2
qwen2.5-7b,temperature,15,2
qwen2.5-7b,temperature,16,2
qwen2.5-7b,temperature,17,2
qwen2.5-7b,temperature,18,2
qwen2.5-7b,temperature,19,2
qwen2.5-7b,temperature,20,2
qwen2.5-7b,temperature,21,2
qwen2.5-7b,temperature,22,2
qwen2.5-7b,temperature,23,2
qwen2.5-7b,temperature,24,2
qwen2.5-7b,temperature,25,2
qwen2.5-7b,temperature,26,2
qwen2.5-7b,temperature,27,2
qwen2.5-7b,temperature,28,2
qwen2.5-7b,temperature,29,2
qwen2.5-7b,temperature,30,2
qwen2.5-7b,temperature,31,2
qwen2.5-7b,temperature,32,2
qwen2.5-7b,temperature,33,2
qwen2.5-7b,temperature,34,2
qwen2.5-7b,temperature,35,2
qwen2.5-7b,temperature,36,2
qwen2.5-7b,temperature,37,2
qwen2.5-7b,temperature,38,2
qwen2.5-7b,temperature,39,2
qwen2.5-7b,temperature,40,2
qwen2.5-7b,temperature,41,2
qwen2.5-7b,temperature,42,2
qwen2.5-7b,temperature,43,2
qwen2.5-7b,temperature,44,2
qwen2.5-7b,temperature,45,2
qwen2.5-7b,temperature,46,2
qwen2.5-7b,temperature,47,2
qwen2.5-7b,temperature,48,2
qwen2.5-7b,temperature,49,2
qwen2.5-7b,temperature,50,2
qwen2.5-7b,temperature,51,2
qwen2.5-7b,temperature,52,2
qwen2.5-7b,temperature,53,2
qwen2.5-7b,temperature,54,2
qwen2.5-7b,temperature,55,2
qwen2.5-7b,temperature,56,2
qwen2.5-7b,temperature,57,2
qwen2.5-7b,temperature,58,2
qwen2.5-7b,temperature,59,2
qwen2.5-7b,temperature,60,2
qwen2.5-7b,temperature,61,2
qwen2.5-7b,temperature,62,2
qwen2.5-7b,temperature,63,2
qwen2.5-7b,temperature,64,2
qwen2.5-7b,temperature,65,2
qwen2.5-7b,temperature,66,2
qwen2.5-7b,temperature,67,2
qwen2.5-7b,temperature,68,2
qwen2.5-7b,temperature,69,2
qwen2.5-7b,temperature,70,2
qwen2.5-7b,temperature,71,2
qwen2.5-7b,temperature,72,2
qwen2.5-7b,temperature,73,2
qwen2.5-7b,temperature,74,2
qwen2.5-7b,temperature,75,2
qwen2.5-7b,temperature,76,2
qwen2.5-7b,temperature,77,2
qwen2.5-7b,temperature,78,2
qwen2.5-7b,temperature,79,2
qwen2.5-7b,temperature,80,2
qwen2.5-7b,temperature,81,2
qwen2.5-7b,temperature,82,2
qwen2.5-7b,temperature,83,2
qwen2.5-7b,temperature,84,2
qwen2.5-7b,temperature,85,2
qwen2.5-7b,temperature,86,2
qwen2.5-7b,temperature,87,2
qwen2.5-7b,temperature,88,2
qwen2.5-7b,temperature,89,2
qwen2.5-7b,temperature,90,2
qwen2.5-7b,temperature,91,2
qwen2.5-7b,temperature,92,2
qwen2.5-7b,temperature,93,2
qwen2.5-7b,temperature,94,2
qwen2.5-7b,temperature,95,2
qwen2.5-7b,temperature,96,2
qwen2.5-7b,temperature,97,2
qwen2.5-7b,temperature,98,2
qwen2.5-7b,temperature,99,2
qwen2.5-7b,temperature,100,3
qwen2.5-7b,temperature,101,3
qwen2.5-7b,temperature,102,3
qwen2.5-7b,temperature,103,3
qwen2.5-7b,temperature,104,3
qwen2.5-7b,temperature,105,3
qwen2.5-7b,temperature,106,3
qwen2.5-7b,temperature,107,3
qwen2.5-7b,temperature,108,3
qwen2.5-7b,temperature,109,3
qwen2.5-7b,temperature,110,3
qwen2.5-7b,temperature,111,3
qwen2.5-7b,temperature,112,3
qwen2.5-7b,temperature,113,3
qwen2.5-7b,temperature,114,3
qwen2.5-7b,temperature,115,3
qwen2.5-7b,temperature,116,3
qwen2.5-7b,temperature,117,3
qwen2.5-7b,temperature,118,3
qwen2.5-7b,temperature,119,3
qwen2.5-7b,temperature,120,3
qwen2.5-7b,temperature,121,3
qwen2.5-7b,temperature,122,3
qwen2.5-7b,temperature,123,3
qwen2.5-7b,temperature,124,3
qwen2.5-7b,temperature,125,3
qwen2.5-7b,temperature,126,3
qwen2.5-7b,temperature,127,3
qwen2.5-7b,temperature,128,3
qwen2.5-7b,temperature,129,3
qwen2.5-7b,temperature,130,3
qwen2.5-7b,temperature,131,3
qwen2.5-7b,temperature,132,3
qwen2.5-7b,temperature,133,3
qwen2.5-7b,temperature,134,3
qwen2.5-7b,temperature,135,3
qwen2.5-7b,temperature,136,3
qwen2.5-7b,temperature,137,3
qwen2.5-7b,temperature,138,3
qwen2.5-7b,temperature,139,3
qwen2.5-7b,temperature,140,3
qwen2.5-7b,temperature,141,3
qwen2.5-7b,temperature,142,3
qwen2.5-7b,temperature,143,3
qwen2.5-7b,temperature,144,3
qwen2.5-7b,temperature,145,3
qwen2.5-7b,temperature,146,3
qwen2.5-7b,temperature,147,3
qwen2.5-7b,temperature,148,3
qwen2.5-7b,temperature,149,3
qwen2.5-7b,temperature,150,3
qwen2.5-7b,temperature,151,3
qwen2.5-7b,temperature,152,3
qwen2.5-7b,temperature,153,3
qwen2.5-7b,temperature,154,3
qwen2.5-7b,temperature,155,3
qwen2.5-7b,temperature,156,3
qwen2.5-7b,temperature,157,3
qwen2.5-7b,temperature,158,3
qwen2.5-7b,temperature,159,3
qwen2.5-7b,temperature,160,3
qwen2.5-7b,temperature,161,3
qwen2.5-7b,temperature,162,3
qwen2.5-7b,temperature,163,3
qwen2.5-7b,temperature,164,3
qwen2.5-7b,temperature,165,3
qwen2.5-7b,temperature,166,3
qwen2.5-7b,temperature,167,3
qwen2.5-7b,temperature,168,3
qwen2.5-7b,temperature,169,3
qwen2.5-7b,temperature,170,3
qwen2.5-7b,temperature,171,3
qwen2.5-7b,temperature,172,3
qwen2.5-7b,temperature,173,3
qwen2.5-7b,temperature,174,3
qwen2.5-7b,temperature,175,3
qwen2.5-7b,temperature,176,3
qwen2.5-7b,temperature,177,3
qwen2.5-7b,temperature,178,3
qwen2.5-7b,temperature,179,3
qwen2.5-7b,temperature,180,3
qwen2.5-7b,temperature,181,3
qwen2.5-7b,temperature,182,3
qwen2.5-7b,temperature,183,3
qwen2.5-7b,temperature,184,3
qwen2.5-7b,temperature,185,3
qwen2.5-7b,temperature,186,3
qwen2.5-7b,temperature,187,3
qwen2.5-7b,temperature,188,3
qwen2.5-7b,temperature,189,3
qwen2.5-7b,temperature,190,3
qwen2.5-7b,temperature,191,3
qwen2.5-7b,temperature,192,3
qwen2.5-7b,temperature,193,3
qwen2.5-7b,temperature,194,3
qwen2.5-7b,temperature,195,3
qwen2.5-7b,temperature,196,3
qwen2.5-7b,temperature,197,3
qwen2.5-7b,temperature,198,3
qwen2.5-7b,temperature,199,3
qwen2.5-7b,temperature,200,3
qwen2.5-7b,temperature,201,3
qwen2.5-7b,temperature,202,3
qwen2.5-7b,temperature,203,3
qwen2.5-7b,temperature,204,3
qwen2.5-7b,temperature,205,3
qwen2.5-7b,temperature,206,3
qwen2.5-7b,temperature,207,3
qwen2.5-7b,temperature,208,3
qwen2.5-7b,temperature,209,3
qwen2.5-7b,temperature,210,3
qwen2.5-7b,temperature,211,3
qwen2.5-7b,temperature,212,3
qwen2.5-7b,temperature,213,3
qwen2.5-7b,temperature,214,3
qwen2.5-7b,temperature,215,3
qwen2.5-7b,temperature,216,3
qwen2.5-7b,temperature,217,3
qwen2.5-7b,temperature,218,3
qwen2.5-7b,temperature,219,3
qwen2.5-7b,temperature,220,3
qwen2.5-7b,temperature,221,3
qwen2.5-7b,temperature,222,3
qwen2.5-7b,temperature,223,3
qwen2.5-7b,temperature,224,3
qwen2.5-7b,temperature,225,3
qwen2.5-7b,temperature,226,3
qwen2.5-7b,temperature,227,3
qwen2.5-7b,temperature,228,3
qwen2.5-7b,temperature,229,3
qwen2.5-7b,temperature,230,3
qwen2.5-7b,temperature,231,3
qwen2.5-7b,temperature,232,3
qwen2.5-7b,temperature,233,3
qwen2.5-7b,temperature,234,3
qwen2.5-7b,temperature,235,3
qwen2.5-7b,temperature,236,3
qwen2.5-7b,temperature,237,3
qwen2.5-7b,temperature,238,3
qwen2.5-7b,temperature,239,3
qwen2.5-7b,temperature,240,3
qwen2.5-7b,temperature,241,3
qwen2.5-7b,temperature,242,3
qwen2.5-7b,temperature,243,3
qwen2.5-7b,temperature,244,3
qwen2.5-7b,temperature,245,3
qwen2.5-7b,temperature,246,3
qwen2.5-7b,temperature,247,3
qwen2.5-7b,temperature,248,3
qwen2.5-7b,temperature,249,3
qwen2.5-7b,temperature,250,3
qwen2.5-7b,temperature,251,3
qwen2.5-7b,temperature,252,3
qwen2.5-7b,temperature,253,3
qwen2.5-7b,temperature,254,3
qwen2.5-7b,temperature,255,3
qwen2.5-7b,temperature,256,3
qwen2.5-7b,temperature,257,3
qwen2.5-7b,temperature,258,3
qwen2.5-7b,temperature,259,3
qwen2.5-7b,temperature,260,3
qwen2.5-7b,temperature,261,3
qwen2.5-7b,temperature,262,3
qwen2.5-7b,temperature,263,3
qwen2.5-7b,temperature,264,3
qwen2.5-7b,temperature,265,3
qwen2.5-7b,temperature,266,3
qwen2.5-7b,temperature,267,3
qwen2.5-7b,temperature,268,3
qwen2.5-7b,temperature,269,3
qwen2.5-7b,temperature,270,3
qwen2.5-7b,temperature,271,3
qwen2.5-7b,temperature,272,3
qwen2.5-7b,temperature,273,3
qwen2.5-7b,temperature,274,3
qwen2.5-7b,temperature,275,3
qwen2.5-7b,temperature,276,3
qwen2.5-7b,temperature,277,3
qwen2.5-7b,temperature,278,3
qwen2.5-7b,temperature,279,3
qwen2.5-7b,temperature,280,3
qwen2.5-7b,temperature,281,3
qwen2.5-7b,temperature,282,3
qwen2.5-7b,temperature,283,3
qwen2.5-7b,temperature,284,3
qwen2.5-7b,temperature,285,3
qwen2.5-7b,temperature,286,3
qwen2.5-7b,temperature,287,3
qwen2.5-7b,temperature,288,3
qwen2.5-7b,temperature,289,3
qwen2.5-7b,temperature,290,3
qwen2.5-7b,temperature,291,3
qwen2.5-7b,temperature,292,3
qwen2.5-7b,temperature,293,3
qwen2.5-7b,temperature,294,3
qwen2.5-7b,temperature,295,3
qwen2.5-7b,temperature,296,3
qwen2.5-7b,temperature,297,3
qwen2.5-7b,temperature,298,3
qwen2.5-7b,temperature,299,3
qwen2.5-7b,temperature,300,3
qwen2.5-7b,temperature,301,3
qwen2.5-7b,temperature,302,3
qwen2.5-7b,temperature,303,3
qwen2.5-7b,temperature,304,3
qwen2.5-7b,temperature,305,3
qwen2.5-7b,temperature,306,3
qwen2.5-7b,temperature,307,3
qwen2.5-7b,temperature,308,3
qwen2.5-7b,temperature,309,3
qwen2.5-7b,temperature,310,3
qwen2.5-7b,temperature,311,3
qwen2.5-7b,temperature,312,3
qwen2.5-7b,temperature,313,3
qwen2.5-7b,temperature,314,3
qwen2.5-7b,temperature,315,3
qwen2.5-7b,temperature,316,3
qwen2.5-7b,temperature,317,3
qwen2.5-7b,temperature,318,3
qwen2.5-7b,temperature,319,3
qwen2.5-7b,temperature,320,3
qwen2.5-7b,temperature,321,3
qwen2.5-7b,temperature,322,3
qwen2.5-7b,temperature,323,3
qwen2.5-7b,temperature,324,3
qwen2.5-7b,temperature,325,3
qwen2.5-7b,temperature,326,3
qwen2.5-7b,temperature,327,3
qwen2.5-7b,temperature,328,3
qwen2.5-7b,temperature,329,3
qwen2.5-7b,temperature,330,3
qwen2.5-7b,temperature,331,3
qwen2.5-7b,temperature,332,3
qwen2.5-7b,temperature,333,3
qwen2.5-7b,temperature,334,3
qwen2.5-7b,temperature,335,3
qwen2.5-7b,temperature,336,3
qwen2.5-7b,temperature,337,3
qwen2.5-7b,temperature,338,3
qwen2.5-7b,temperature,339,3
qwen2.5-7b,temperature,340,3
qwen2.5-7b,temperature,341,3
qwen2.5-7b,temperature,342,3
qwen2.5-7b,temperature,343,3
qwen2.5-7b,temperature,344,3
qwen2.5-7b,temperature,345,3
qwen2.5-7b,temperature,346,3
qwen2.5-7b,temperature,347,3
qwen2.5-7b,temperature,348,3
qwen2.5-7b,temperature,349,3
qwen2.5-7b,temperature,350,3
qwen2.5-7b,temperature,351,3
qwen2.5-7b,temperature,352,3
qwen2.5-7b,temperature,353,3
qwen2.5-7b,temperature,354,3
qwen2.5-7b,temperature,355,3
qwen2.5-7b,temperature,356,3
qwen2.5-7b,temperature,357,3
qwen2.5-7b,temperature,358,3
qwen2.5-7b,temperature,359,3
qwen2.5-7b,temperature,360,3
qwen2.5-7b,temperature,361,3
qwen2.5-7b,temperature,362,3
qwen2.5-7b,temperature,363,3
qwen2.5-7b,temperature,364,3
qwen2.5-7b,temperature,365,3
qwen2.5-7b,temperature,366,3
qwen2.5-7b,temperature,367,3
qwen2.5-7b,temperature,368,3
qwen2.5-7b,temperature,369,3
qwen2.5-7b,temperature,370,3
qwen2.5-7b,temperature,371,3
qwen2.5-7b,temperature,372,3
qwen2.5-7b,temperature,373,3
qwen2.5-7b,temperature,374,3
qwen2.5-7b,temperature,375,3
